0.016 0.0
0.348 1.012
0.634 2.028
0.896 3.034
1.130 4.038
1.335 5.043
1.525 6.050
1.703 7.054
1.857 8.059
1.996 9.066
2.116 10.07
2.230 11.07
2.334 12.08
2.426 13.08
2.510 14.08
2.586 15.09
2.655 16.10
2.716 17.11
2.772 18.11
2.823 19.11
2.869 20.11
2.903 21.12
2.939 22.12
2.974 23.13
3.004 24.13
3.031 25.14
2.739 26.14
2.467 27.15
2.227 28.15
2.018 29.16
1.822 30.16
1.645 31.17
1.487 32.17
1.344 33.18
1.222 34.19
1.104 35.21
1.000 36.21
0.903 37.22
0.818 38.23
0.743 39.23
0.672 40.24
0.609 41.25
0.554 42.25
0.501 43.26
0.454 44.27
0.414 45.27
0.383 46.28
0.348 47.28
0.317 48.29
0.289 49.30
