34.76;99459;29.13;0.0
35.74;99464;29.14;1.405
38.32;99453;29.18;2.425
54.60;99462;30.07;3.433
68.33;99469;31.44;4.457
69.44;99460;31.31;5.477
68.09;99454;30.51;6.499
68.24;99472;30.19;7.516
67.96;99465;30.00;8.533
67.36;99464;29.83;9.567
66.55;99468;29.70;10.57
65.30;99467;29.57;11.59
62.22;99475;29.44;12.61
55.97;99466;29.34;13.63
48.84;99466;29.34;14.66
43.71;99466;29.36;15.68
40.40;99466;29.36;16.71
37.64;99469;29.35;17.73
35.86;99466;29.34;18.75
34.67;99471;29.32;19.76
33.83;99460;29.31;20.79
33.11;99468;29.29;21.80
32.42;99468;29.27;22.83
31.92;99462;29.25;23.85
31.54;99462;29.24;24.87
31.21;99468;29.22;25.88
30.88;99473;29.21;26.90
30.59;99465;29.19;27.92
30.32;99462;29.18;28.94
30.03;99464;29.17;29.96
